method,n,mean_time,std_time,mean_updates,std_updates,mean_im1,std_im1,mean_im2,std_im2,mean_en,std_en,ci95_im1,ci95_im2,ci95_en
A,300,2.082237830333373,0.4894412964399313,475.27,107.97954609360953,1.0443696057796479,0.5222672389212649,0.32071042658761145,0.2797721722542143,0.06583349945294321,0.14805586416230151,0.059100101672102515,0.031659201636696443,0.01675409823372466
B,300,2.2674400153327343,0.9591570921088158,403.07,169.5597834606546,1.6868699445202946,3.65474775267347,0.2785319120064378,0.271537918200858,33.81032819271088,11.300800588817411,0.4135736413699367,0.030727408073017357,1.2788059713543545
C,300,1.898543639999504,1.0461436720540134,366.13,201.3939709585705,1.0723517780005931,0.5121270430888228,0.26220236817374826,0.2151158829944382,20.121006268024445,9.674821102857477,0.05795263049257731,0.024342653738945376,1.0948090713468621
D,300,1.4394956440024544,1.2599558520068206,230.19,201.96017828284894,1.259600995182991,1.27117297253912,0.27970911856740716,0.24124267954009065,26.875975388169287,11.017827165720389,0.14384676334487936,0.0272991790906096,1.2467845140826337
E,300,1.5108173056664722,0.824316121872892,371.57,203.15259047504762,1.0699798043072224,0.5114919222756419,0.2619764943420887,0.21529997687614336,20.07831356781721,9.67383441860691,0.057880759806775546,0.024363485922768467,1.0946974175129989
F,300,1.228170322330746,1.0616619721020453,233.31,202.08131223805145,1.2041725686192513,1.156053725456246,0.27572607539594174,0.2406084277773526,27.008901834487915,11.038134792613628,0.1308197941996073,0.02722740674712324,1.249082538397903
