method,seed,sample_index,true_class,original_class,counterfactual_class,time_seconds,num_grad_updates_used,EN,IM1,IM2,is_satisfactory
C,44,1009,0,0,0,2.55489030003082,500,21.069695472717285,0.9999999403953552,0.061012621968984604,0
D,44,1009,0,0,5,0.5345367999980226,86,31.02091751098633,0.9477643966674805,0.06384091079235077,1
E,44,1009,0,0,0,2.0092124000075273,500,21.337915420532227,0.9999999403953552,0.06044522672891617,0
F,44,1009,0,0,8,0.4439414000371471,88,31.105298614501955,1.183490514755249,0.10434180498123169,1
A,42,6701,0,0,0,2.105459700047504,500,0.03085735680651851,0.9999999403953552,0.06543578207492828,0
B,42,6701,0,0,0,2.789252499991562,500,38.73966941833496,0.9999998211860657,0.047720447182655334,0
C,42,6701,0,0,0,2.568575299985241,500,25.247908782958984,0.9999998807907104,0.0630728229880333,0
D,42,6701,0,0,0,3.054805999970995,500,41.52505111694336,0.9999998807907104,0.057236820459365845,0
E,42,6701,0,0,0,2.069939000008162,500,25.243249130249023,0.9999998807907104,0.06305348873138428,0
F,42,6701,0,0,0,2.5727575999917462,500,41.52736587524414,0.9999998807907104,0.057121600955724716,0
A,43,6701,0,0,0,2.1434746999875642,500,0.03085735680651851,0.9999999403953552,0.06543578207492828,0
B,43,6701,0,0,0,2.7283198999939486,500,38.73966941833496,0.9999998211860657,0.047720447182655334,0
C,43,6701,0,0,0,2.546595600026194,500,25.247908782958984,0.9999998807907104,0.0630728229880333,0
D,43,6701,0,0,0,3.0372401000349782,500,41.52505111694336,0.9999998807907104,0.057236820459365845,0
E,43,6701,0,0,0,1.96616420004284,500,25.243249130249023,0.9999998807907104,0.06305348873138428,0
F,43,6701,0,0,0,2.5893556000082754,500,41.52736587524414,0.9999998807907104,0.057121600955724716,0
A,44,6701,0,0,0,2.1081214000005275,500,0.03085735680651851,0.9999999403953552,0.06543578207492828,0
B,44,6701,0,0,0,2.781253800028935,500,38.73966941833496,0.9999998211860657,0.047720447182655334,0
C,44,6701,0,0,0,2.547528900031466,500,25.247908782958984,0.9999998807907104,0.0630728229880333,0
D,44,6701,0,0,0,3.051563700020779,500,41.52505111694336,0.9999998807907104,0.057236820459365845,0
E,44,6701,0,0,0,1.963763099978678,500,25.243249130249023,0.9999998807907104,0.06305348873138428,0
F,44,6701,0,0,0,2.604853999975603,500,41.52736587524414,0.9999998807907104,0.057121600955724716,0
A,42,4617,0,0,0,2.1304822000092827,500,0.02778978822170757,0.9999999403953552,0.07343979924917221,0
B,42,4617,0,0,0,2.6905052000074647,500,46.557980346679685,0.9999998807907104,0.06649292260408401,0
C,42,4617,0,0,0,2.5361324999830686,500,27.312658309936523,0.9999999403953552,0.07195909321308136,0
D,42,4617,0,0,0,3.0393692000070587,500,51.77000350952149,0.9999998807907104,0.07681610435247421,0
E,42,4617,0,0,0,1.9899892000248656,500,27.334322357177733,0.9999999403953552,0.07219179719686508,0
F,42,4617,0,0,0,2.6067842000047676,500,51.7294418334961,0.9999998807907104,0.0768527090549469,0
A,43,4617,0,0,0,2.192536399990786,500,0.02778978822170757,0.9999999403953552,0.07343979924917221,0
B,43,4617,0,0,0,2.7362766999867745,500,46.557980346679685,0.9999998807907104,0.06649292260408401,0
C,43,4617,0,0,0,2.547207100025844,500,27.312658309936523,0.9999999403953552,0.07195909321308136,0
D,43,4617,0,0,0,3.0795268999645486,500,51.77000350952149,0.9999998807907104,0.07681610435247421,0
E,43,4617,0,0,0,1.9934066999703646,500,27.334322357177733,0.9999999403953552,0.07219179719686508,0
F,43,4617,0,0,0,2.595668599999044,500,51.7294418334961,0.9999998807907104,0.0768527090549469,0
A,44,4617,0,0,0,2.1748831999721006,500,0.02778978822170757,0.9999999403953552,0.07343979924917221,0
B,44,4617,0,0,0,2.7425991999916732,500,46.557980346679685,0.9999998807907104,0.06649292260408401,0
C,44,4617,0,0,0,2.5037895999848843,500,27.312658309936523,0.9999999403953552,0.07195909321308136,0
D,44,4617,0,0,0,3.062136099964846,500,51.77000350952149,0.9999998807907104,0.07681610435247421,0
E,44,4617,0,0,0,2.0041517000063322,500,27.334322357177733,0.9999999403953552,0.07219179719686508,0
F,44,4617,0,0,0,2.5432128999964334,500,51.7294418334961,0.9999998807907104,0.0768527090549469,0
A,42,4542,0,0,0,2.13571459997911,500,0.02753972437931225,0.9999999403953552,0.056656140834093094,0
B,42,4542,0,0,0,2.744454100029543,500,33.92966079711914,0.9999998211860657,0.046111591160297394,0
